Sr.NO,Train accuracy,Test accuracy,Colsample bytree,Learning rate,Max depth,N estimators,Alpha
22,0.8068674698795181,0.7791566265060241,0.7,0.1,3,400,1
23,0.8017469879518072,0.7787951807228916,0.7,0.1,3,400,5
28,0.8081024096385542,0.7778313253012048,0.7,0.1,4,200,1
29,0.8032530120481928,0.7772289156626506,0.7,0.1,4,200,5
31,0.8196987951807229,0.7778313253012048,0.7,0.1,4,300,1
32,0.8127710843373493,0.7771084337349398,0.7,0.1,4,300,5
33,0.8058132530120482,0.7760240963855422,0.7,0.1,4,300,10
34,0.8302108433734939,0.778433734939759,0.7,0.1,4,400,1
35,0.8209939759036144,0.7769879518072289,0.7,0.1,4,400,5
36,0.8118975903614458,0.7756626506024097,0.7,0.1,4,400,10
40,0.8025301204819277,0.7767469879518072,0.7,0.5,2,200,1
43,0.8097289156626506,0.7760240963855422,0.7,0.5,2,300,1
44,0.8043373493975904,0.7785542168674698,0.7,0.5,2,300,5
46,0.8162650602409639,0.7778313253012048,0.7,0.5,2,400,1
47,0.8084036144578314,0.7779518072289157,0.7,0.5,2,400,5
48,0.8018674698795181,0.7790361445783133,0.7,0.5,2,400,10
49,0.8101506024096385,0.7773493975903615,0.7,0.5,3,100,1
50,0.8062650602409639,0.7765060240963856,0.7,0.5,3,100,5
51,0.8023795180722891,0.7750602409638554,0.7,0.5,3,100,10
52,0.8340361445783132,0.7739759036144578,0.7,0.5,3,200,1
53,0.823855421686747,0.7756626506024097,0.7,0.5,3,200,5
54,0.8134939759036145,0.7756626506024097,0.7,0.5,3,200,10
55,0.8537048192771084,0.7739759036144578,0.7,0.5,3,300,1
56,0.8356626506024096,0.7732530120481927,0.7,0.5,3,300,5
57,0.8201506024096386,0.7748192771084338,0.7,0.5,3,300,10
58,0.8678614457831325,0.7726506024096386,0.7,0.5,3,400,1
59,0.8463554216867469,0.771566265060241,0.7,0.5,3,400,5
60,0.8202409638554217,0.7749397590361445,0.7,0.5,3,400,10
61,0.8400903614457831,0.7753012048192771,0.7,0.5,4,100,1
62,0.8270481927710843,0.7746987951807229,0.7,0.5,4,100,5
63,0.8187048192771085,0.7719277108433735,0.7,0.5,4,100,10
64,0.8824397590361446,0.7704819277108433,0.7,0.5,4,200,1
65,0.860722891566265,0.7726506024096386,0.7,0.5,4,200,5
66,0.8367469879518072,0.7727710843373494,0.7,0.5,4,200,10
67,0.9129518072289157,0.7678313253012048,0.7,0.5,4,300,1
68,0.8828915662650603,0.7710843373493976,0.7,0.5,4,300,5
69,0.8394879518072289,0.772289156626506,0.7,0.5,4,300,10
70,0.9362650602409639,0.7655421686746988,0.7,0.5,4,400,1
71,0.9000301204819278,0.7698795180722892,0.7,0.5,4,400,5
72,0.8394879518072289,0.772289156626506,0.7,0.5,4,400,10
73,0.801777108433735,0.7756626506024097,0.7,1.0,2,100,1
76,0.8148493975903615,0.7777108433734939,0.7,1.0,2,200,1
77,0.8090963855421687,0.7753012048192771,0.7,1.0,2,200,5
78,0.8018072289156627,0.7775903614457831,0.7,1.0,2,200,10
79,0.8271084337349398,0.775421686746988,0.7,1.0,2,300,1
80,0.8159337349397591,0.776867469879518,0.7,1.0,2,300,5
81,0.8044879518072289,0.7778313253012048,0.7,1.0,2,300,10
82,0.8355722891566265,0.7728915662650603,0.7,1.0,2,400,1
83,0.821777108433735,0.7772289156626506,0.7,1.0,2,400,5
84,0.8044879518072289,0.7778313253012048,0.7,1.0,2,400,10
85,0.8325,0.7712048192771085,0.7,1.0,3,100,1
86,0.8223795180722892,0.7759036144578313,0.7,1.0,3,100,5
87,0.8113855421686746,0.7753012048192771,0.7,1.0,3,100,10
88,0.8666265060240964,0.772289156626506,0.7,1.0,3,200,1
89,0.8475903614457831,0.7732530120481927,0.7,1.0,3,200,5
90,0.8258734939759036,0.7720481927710844,0.7,1.0,3,200,10
91,0.8920180722891566,0.7689156626506024,0.7,1.0,3,300,1
92,0.8645481927710843,0.7724096385542168,0.7,1.0,3,300,5
93,0.831987951807229,0.7709638554216868,0.7,1.0,3,300,10
94,0.9116265060240963,0.7679518072289157,0.7,1.0,3,400,1
95,0.8770481927710844,0.7659036144578313,0.7,1.0,3,400,5
96,0.831987951807229,0.7709638554216868,0.7,1.0,3,400,10
97,0.8788855421686746,0.7650602409638554,0.7,1.0,4,100,1
98,0.8565662650602409,0.7707228915662651,0.7,1.0,4,100,5
99,0.8364156626506024,0.7703614457831325,0.7,1.0,4,100,10
100,0.9323493975903614,0.7597590361445783,0.7,1.0,4,200,1
101,0.8999397590361445,0.7667469879518072,0.7,1.0,4,200,5
102,0.858855421686747,0.7683132530120482,0.7,1.0,4,200,10
103,0.9625602409638554,0.7610843373493976,0.7,1.0,4,300,1
104,0.9226807228915662,0.7632530120481927,0.7,1.0,4,300,5
105,0.8675602409638554,0.7650602409638554,0.7,1.0,4,300,10
106,0.9795481927710843,0.7572289156626506,0.7,1.0,4,400,1
107,0.939156626506024,0.7620481927710844,0.7,1.0,4,400,5
108,0.8675602409638554,0.7650602409638554,0.7,1.0,4,400,10
127,0.8004819277108434,0.7774698795180723,0.8,0.1,3,300,1
130,0.8071084337349398,0.7774698795180723,0.8,0.1,3,400,1
131,0.8028614457831326,0.778433734939759,0.8,0.1,3,400,5
136,0.808855421686747,0.7789156626506024,0.8,0.1,4,200,1
137,0.8045783132530121,0.7767469879518072,0.8,0.1,4,200,5
138,0.8005120481927711,0.7774698795180723,0.8,0.1,4,200,10
139,0.8207530120481927,0.7772289156626506,0.8,0.1,4,300,1
140,0.8134638554216868,0.7771084337349398,0.8,0.1,4,300,5
141,0.8073192771084338,0.7774698795180723,0.8,0.1,4,300,10
142,0.8318373493975904,0.779277108433735,0.8,0.1,4,400,1
143,0.822289156626506,0.7766265060240963,0.8,0.1,4,400,5
144,0.8144879518072289,0.7762650602409639,0.8,0.1,4,400,10
148,0.8048493975903614,0.7783132530120482,0.8,0.5,2,200,1
151,0.8109939759036144,0.7797590361445783,0.8,0.5,2,300,1
152,0.8051506024096385,0.7774698795180723,0.8,0.5,2,300,5
153,0.8000301204819277,0.7793975903614457,0.8,0.5,2,300,10
154,0.8160542168674699,0.7779518072289157,0.8,0.5,2,400,1
155,0.8092771084337349,0.7775903614457831,0.8,0.5,2,400,5
156,0.8018975903614458,0.7780722891566265,0.8,0.5,2,400,10
157,0.8125903614457831,0.7777108433734939,0.8,0.5,3,100,1
158,0.8065963855421687,0.776144578313253,0.8,0.5,3,100,5
159,0.8029216867469879,0.7785542168674698,0.8,0.5,3,100,10
160,0.8356325301204819,0.7746987951807229,0.8,0.5,3,200,1
161,0.8252108433734939,0.7779518072289157,0.8,0.5,3,200,5
162,0.8143975903614458,0.7753012048192771,0.8,0.5,3,200,10
163,0.8537349397590361,0.7704819277108433,0.8,0.5,3,300,1
164,0.8383734939759037,0.7737349397590362,0.8,0.5,3,300,5
165,0.8159337349397591,0.7750602409638554,0.8,0.5,3,300,10
166,0.8702409638554217,0.7698795180722892,0.8,0.5,3,400,1
167,0.8491867469879518,0.7728915662650603,0.8,0.5,3,400,5
168,0.8159337349397591,0.7750602409638554,0.8,0.5,3,400,10
169,0.8436144578313253,0.7728915662650603,0.8,0.5,4,100,1
170,0.8321084337349398,0.773855421686747,0.8,0.5,4,100,5
171,0.8194277108433735,0.7760240963855422,0.8,0.5,4,100,10
172,0.8853012048192771,0.7685542168674698,0.8,0.5,4,200,1
173,0.8635240963855422,0.7719277108433735,0.8,0.5,4,200,5
174,0.8375,0.7750602409638554,0.8,0.5,4,200,10
175,0.9158734939759036,0.7695180722891566,0.8,0.5,4,300,1
176,0.886867469879518,0.7697590361445783,0.8,0.5,4,300,5
177,0.8393975903614458,0.7755421686746988,0.8,0.5,4,300,10
178,0.9387951807228916,0.7671084337349398,0.8,0.5,4,400,1
179,0.9027108433734939,0.7653012048192771,0.8,0.5,4,400,5
180,0.8393975903614458,0.7755421686746988,0.8,0.5,4,400,10
181,0.8018373493975903,0.7759036144578313,0.8,1.0,2,100,1
184,0.8166566265060241,0.7765060240963856,0.8,1.0,2,200,1
185,0.8092469879518073,0.7737349397590362,0.8,1.0,2,200,5
186,0.8024397590361446,0.7772289156626506,0.8,1.0,2,200,10
187,0.8279819277108433,0.7720481927710844,0.8,1.0,2,300,1
188,0.8167168674698795,0.7767469879518072,0.8,1.0,2,300,5
189,0.8056927710843373,0.776867469879518,0.8,1.0,2,300,10
190,0.8380120481927711,0.7712048192771085,0.8,1.0,2,400,1
191,0.8218373493975903,0.7760240963855422,0.8,1.0,2,400,5
192,0.8062048192771084,0.7756626506024097,0.8,1.0,2,400,10
193,0.8336144578313253,0.7727710843373494,0.8,1.0,3,100,1
194,0.8244879518072289,0.7726506024096386,0.8,1.0,3,100,5
195,0.8151506024096385,0.7749397590361445,0.8,1.0,3,100,10
196,0.8670783132530121,0.7690361445783133,0.8,1.0,3,200,1
197,0.8481927710843373,0.7703614457831325,0.8,1.0,3,200,5
198,0.8285542168674699,0.7714457831325301,0.8,1.0,3,200,10
199,0.8948795180722892,0.7666265060240964,0.8,1.0,3,300,1
200,0.8656325301204819,0.77,0.8,1.0,3,300,5
201,0.8306927710843374,0.7721686746987951,0.8,1.0,3,300,10
202,0.9140963855421687,0.763855421686747,0.8,1.0,3,400,1
203,0.8788855421686746,0.7684337349397591,0.8,1.0,3,400,5
204,0.8306927710843374,0.7721686746987951,0.8,1.0,3,400,10
205,0.8828012048192772,0.7630120481927711,0.8,1.0,4,100,1
206,0.8608132530120481,0.7709638554216868,0.8,1.0,4,100,5
207,0.8387650602409639,0.7709638554216868,0.8,1.0,4,100,10
208,0.9380120481927711,0.7608433734939759,0.8,1.0,4,200,1
209,0.9028012048192771,0.7666265060240964,0.8,1.0,4,200,5
210,0.8635542168674699,0.7681927710843374,0.8,1.0,4,200,10
211,0.9669578313253012,0.7573493975903615,0.8,1.0,4,300,1
212,0.9278012048192771,0.7634939759036145,0.8,1.0,4,300,5
213,0.8699096385542169,0.7680722891566265,0.8,1.0,4,300,10
214,0.9824397590361446,0.7543373493975903,0.8,1.0,4,400,1
215,0.9433734939759036,0.7603614457831326,0.8,1.0,4,400,5
216,0.8699096385542169,0.7680722891566265,0.8,1.0,4,400,10
235,0.802289156626506,0.7777108433734939,0.9,0.1,3,300,1
238,0.8069578313253012,0.7774698795180723,0.9,0.1,3,400,1
